geoid,region_type,region_name,year,measure,value,type
51087200303,tract,"Census Tract 2003.03, Henrico County, Virginia",2019,perc_post_hs_edu,68.1427925892454,percent
51153901223,tract,"Census Tract 9012.23, Prince William County, Virginia",2019,perc_post_hs_edu,79.5205957644869,percent
51059422301,tract,"Census Tract 4223.01, Fairfax County, Virginia",2019,perc_post_hs_edu,75.1042535446205,percent
51059420202,tract,"Census Tract 4202.02, Fairfax County, Virginia",2019,num_post_hs_edu,1529,count
51013980200,tract,"Census Tract 9802, Arlington County, Virginia",2019,num_post_hs_edu,4,count
51177020305,tract,"Census Tract 203.05, Spotsylvania County, Virginia",2019,num_post_hs_edu,1258,count
51660000402,tract,"Census Tract 4.02, Harrisonburg city, Virginia",2019,perc_post_hs_edu,49.0140845070423,percent
51041100509,tract,"Census Tract 1005.09, Chesterfield County, Virginia",2019,num_post_hs_edu,3324,count
51087200127,tract,"Census Tract 2001.27, Henrico County, Virginia",2019,num_post_hs_edu,3413,count
51111930100,tract,"Census Tract 9301, Lunenburg County, Virginia",2019,perc_post_hs_edu,38.8988937483921,percent
51760050400,tract,"Census Tract 504, Richmond city, Virginia",2019,num_post_hs_edu,2074,count
51810041003,tract,"Census Tract 410.03, Virginia Beach city, Virginia",2019,perc_post_hs_edu,57.2970639032815,percent
51001090300,tract,"Census Tract 903, Accomack County, Virginia",2019,perc_post_hs_edu,36.1650485436893,percent
51059415800,tract,"Census Tract 4158, Fairfax County, Virginia",2019,perc_post_hs_edu,89.2781636967684,percent
51760041100,tract,"Census Tract 411, Richmond city, Virginia",2019,num_post_hs_edu,2273,count
51683910201,tract,"Census Tract 9102.01, Manassas city, Virginia",2019,num_post_hs_edu,1958,count
51710005800,tract,"Census Tract 58, Norfolk city, Virginia",2019,perc_post_hs_edu,46.9891411648569,percent
51630,county,"Fredericksburg city, Virginia",2019,num_post_hs_edu,11468,count
51169030100,tract,"Census Tract 301, Scott County, Virginia",2019,num_post_hs_edu,1068,count
51095080206,tract,"Census Tract 802.06, James City County, Virginia",2019,perc_post_hs_edu,84.6321657980851,percent
51153901507,tract,"Census Tract 9015.07, Prince William County, Virginia",2019,perc_post_hs_edu,80.032292787944,percent
51700030500,tract,"Census Tract 305, Newport News city, Virginia",2019,num_post_hs_edu,520,count
51059431801,tract,"Census Tract 4318.01, Fairfax County, Virginia",2019,perc_post_hs_edu,75.8075842696629,percent
51059422302,tract,"Census Tract 4223.02, Fairfax County, Virginia",2019,perc_post_hs_edu,76.692238267148,percent
51003010901,tract,"Census Tract 109.01, Albemarle County, Virginia",2019,perc_post_hs_edu,96.6772151898734,percent
51770001800,tract,"Census Tract 18, Roanoke city, Virginia",2019,perc_post_hs_edu,76.978417266187,percent
51041100701,tract,"Census Tract 1007.01, Chesterfield County, Virginia",2019,num_post_hs_edu,1961,count
51015071000,tract,"Census Tract 710, Augusta County, Virginia",2019,perc_post_hs_edu,41.9862340216323,percent
51810045000,tract,"Census Tract 450, Virginia Beach city, Virginia",2019,num_post_hs_edu,296,count
51683910100,tract,"Census Tract 9101, Manassas city, Virginia",2019,num_post_hs_edu,1840,count
51840000302,tract,"Census Tract 3.02, Winchester city, Virginia",2019,perc_post_hs_edu,58.4541062801932,percent
51830,county,"Williamsburg city, Virginia",2019,num_post_hs_edu,5654,count
51059460200,tract,"Census Tract 4602, Fairfax County, Virginia",2019,perc_post_hs_edu,94.0922190201729,percent
51810046014,tract,"Census Tract 460.14, Virginia Beach city, Virginia",2019,num_post_hs_edu,2590,count
51153901306,tract,"Census Tract 9013.06, Prince William County, Virginia",2019,num_post_hs_edu,2723,count
51810045406,tract,"Census Tract 454.06, Virginia Beach city, Virginia",2019,perc_post_hs_edu,67.0356703567036,percent
51107611009,tract,"Census Tract 6110.09, Loudoun County, Virginia",2019,perc_post_hs_edu,90.2483343428225,percent
51147930300,tract,"Census Tract 9303, Prince Edward County, Virginia",2019,num_post_hs_edu,2208,count
51041100300,tract,"Census Tract 1003, Chesterfield County, Virginia",2019,perc_post_hs_edu,36.0780065005417,percent
51059480903,tract,"Census Tract 4809.03, Fairfax County, Virginia",2019,num_post_hs_edu,1741,count
51147930202,tract,"Census Tract 9302.02, Prince Edward County, Virginia",2019,perc_post_hs_edu,47.8731631863882,percent
51600300200,tract,"Census Tract 3002, Fairfax city, Virginia",2019,num_post_hs_edu,2695,count
51650010103,tract,"Census Tract 101.03, Hampton city, Virginia",2019,num_post_hs_edu,3784,count
51710001300,tract,"Census Tract 13, Norfolk city, Virginia",2019,perc_post_hs_edu,56.7767653758542,percent
51810045417,tract,"Census Tract 454.17, Virginia Beach city, Virginia",2019,num_post_hs_edu,4792,count
51153901413,tract,"Census Tract 9014.13, Prince William County, Virginia",2019,num_post_hs_edu,2046,count
51087200805,tract,"Census Tract 2008.05, Henrico County, Virginia",2019,num_post_hs_edu,952,count
51059480504,tract,"Census Tract 4805.04, Fairfax County, Virginia",2019,perc_post_hs_edu,94.0779610194903,percent
51175200400,tract,"Census Tract 2004, Southampton County, Virginia",2019,num_post_hs_edu,2676,count
51710003200,tract,"Census Tract 32, Norfolk city, Virginia",2019,num_post_hs_edu,1255,count
51013100300,tract,"Census Tract 1003, Arlington County, Virginia",2019,perc_post_hs_edu,92.7441626914386,percent
51059450900,tract,"Census Tract 4509, Fairfax County, Virginia",2019,num_post_hs_edu,912,count
51810040402,tract,"Census Tract 404.02, Virginia Beach city, Virginia",2019,num_post_hs_edu,3151,count
51810044004,tract,"Census Tract 440.04, Virginia Beach city, Virginia",2019,num_post_hs_edu,1189,count
51187020500,tract,"Census Tract 205, Warren County, Virginia",2019,perc_post_hs_edu,36.8129968890425,percent
51760011100,tract,"Census Tract 111, Richmond city, Virginia",2019,num_post_hs_edu,1257,count
51680000500,tract,"Census Tract 5, Lynchburg city, Virginia",2019,num_post_hs_edu,335,count
