"GEOID","NAME","population_2009","population_margin_2009","population_2010","population_margin_2010","population_2011","population_margin_2011","population_2012","population_margin_2012","population_2013","population_margin_2013","population_2014","population_margin_2014","population_2015","population_margin_2015","population_2016","population_margin_2016","population_2017","population_margin_2017","population_2018","population_margin_2018","population_2019","population_margin_2019","doctors_2009","doctors_2010","doctors_2011","doctors_2012","doctors_2013","doctors_2014","doctors_2015","doctors_2016","doctors_2017","doctors_2018","doctors_2019"
"51710006200","Census Tract 62, Norfolk city, Virginia",3720,940,3600,750,3328,808,3502,733,3316,646,2909,582,2945,676,3027,617,3078,640,3217,610,3210,689,16,17,18,13,18,15,23,18,18,24,19
"51710006400","Census Tract 64, Norfolk city, Virginia",3563,742,3711,879,3810,727,4098,852,3938,785,3944,772,3972,678,3754,798,3384,649,3509,700,3344,732,0,0,0,0,0,0,0,0,0,0,0
"51710006501","Census Tract 65.01, Norfolk city, Virginia",2685,540,2393,460,2732,636,2793,658,3264,736,3264,838,3318,742,3211,702,3075,640,2692,550,2460,464,1,1,1,1,1,1,1,1,1,1,1
"51710006502","Census Tract 65.02, Norfolk city, Virginia",2218,543,1982,514,2111,552,2357,594,2736,614,3109,723,2999,532,3276,523,3302,573,3181,659,3310,511,3,3,3,4,3,4,4,3,4,4,4
"51710006601","Census Tract 66.01, Norfolk city, Virginia",928,340,833,343,1389,519,1257,183,1071,166,1066,179,993,130,669,201,688,231,719,241,617,193,0,0,0,0,0,0,0,0,0,0,0
"51710006602","Census Tract 66.02, Norfolk city, Virginia",2739,422,2714,458,2632,451,2617,450,2614,489,2517,429,2523,374,2618,434,2604,394,2597,364,2470,453,0,0,0,0,0,0,0,0,0,0,0
"51710006603","Census Tract 66.03, Norfolk city, Virginia",2376,558,2674,628,2708,553,2892,528,2888,515,2600,487,2505,376,2299,369,2343,451,2096,392,2100,437,0,0,0,0,0,0,0,0,0,0,0
"51710006604","Census Tract 66.04, Norfolk city, Virginia",2580,414,2367,369,2380,344,2143,312,2194,281,2212,265,2267,241,2165,255,2115,229,2021,209,2338,231,0,0,0,0,0,0,0,0,0,0,0
"51710006605","Census Tract 66.05, Norfolk city, Virginia",2994,339,3082,693,3085,682,2907,618,2619,465,2723,457,2745,464,2747,438,2822,494,2894,503,2737,554,8,8,8,8,6,7,7,6,9,8,7
"51710006606","Census Tract 66.06, Norfolk city, Virginia",4382,946,4404,1227,4425,1183,4529,1263,4453,1207,4066,1003,4162,1052,4169,1049,4027,1035,3967,974,3973,1004,5,7,6,6,7,7,11,5,9,8,7
"51710006607","Census Tract 66.07, Norfolk city, Virginia",3384,790,3663,1027,3441,1022,3319,809,2963,797,2918,813,2886,806,3127,854,3209,956,3208,909,2970,830,0,0,0,0,0,0,0,0,0,0,0
"51710006800","Census Tract 68, Norfolk city, Virginia",1803,312,2418,573,2298,521,2234,438,1962,400,1968,296,1819,215,1928,214,1879,223,1790,286,1781,303,0,0,0,0,0,0,0,0,0,0,0
"51710006901","Census Tract 69.01, Norfolk city, Virginia",3355,921,3732,1153,3548,1073,3764,1071,3730,846,3801,909,3801,884,3594,874,3693,839,3609,903,3147,742,136,166,153,168,169,143,195,191,164,187,174
"51710006902","Census Tract 69.02, Norfolk city, Virginia",3036,590,2830,614,2748,536,2697,579,2549,475,2591,524,2689,529,2639,518,2697,465,2863,609,2820,717,0,0,0,0,0,0,0,0,0,0,0
"51710007001","Census Tract 70.01, Norfolk city, Virginia",1635,346,1773,440,1875,291,1905,321,1781,292,1807,346,1621,257,1593,260,1751,226,1803,263,1895,250,3,3,3,3,3,3,3,3,3,3,3
"51710007002","Census Tract 70.02, Norfolk city, Virginia",3541,665,3962,924,3642,769,3690,644,3643,661,3868,609,3649,592,3770,749,3657,652,3773,750,3623,752,2,2,2,2,2,2,2,2,2,2,2
"51710980100","Census Tract 9801, Norfolk city, Virginia",0,0,0,127,93,63,207,147,319,193,470,231,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51710980200","Census Tract 9802, Norfolk city, Virginia",0,0,0,127,0,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51710980300","Census Tract 9803, Norfolk city, Virginia",0,0,0,127,0,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51710990000","Census Tract 9900, Norfolk city, Virginia",0,0,0,127,0,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51720960100","Census Tract 9601, Norton city, Virginia",0,0,3886,1018,3934,1039,3971,1132,3998,1108,4015,1271,4007,953,3978,958,4043,947,3990,893,3970,1039,87,94,91,88,88,85,85,89,89,95,90
"51730810100","Census Tract 8101, Petersburg city, Virginia",3119,726,2901,723,3055,825,2908,643,2902,567,2868,572,2712,576,2639,569,2739,607,2526,607,2716,890,0,0,0,0,0,0,0,0,0,0,0
"51730810300","Census Tract 8103, Petersburg city, Virginia",1717,849,2216,769,2562,882,2655,1026,2443,818,2660,910,2602,779,2504,817,2560,857,2786,943,2778,1043,0,0,0,0,0,0,0,0,0,0,0
"51730810400","Census Tract 8104, Petersburg city, Virginia",1468,494,1643,580,1597,479,1621,617,1560,533,1220,188,1284,194,1288,161,1349,200,1389,221,1367,212,0,0,0,0,0,0,0,0,0,0,0
"51730810500","Census Tract 8105, Petersburg city, Virginia",3406,846,4016,1326,3841,1290,4099,1308,4118,1176,4590,1387,4216,1330,4209,1308,3968,1283,3715,1369,3184,990,0,0,0,0,0,0,0,0,0,0,0
"51730810600","Census Tract 8106, Petersburg city, Virginia",1892,569,1965,565,1731,499,1775,425,1679,416,1552,342,1604,342,1669,362,1650,321,1643,310,1650,367,5,5,5,5,5,5,5,5,5,5,5
"51730810700","Census Tract 8107, Petersburg city, Virginia",2836,873,2237,682,2128,634,2061,624,2347,662,2219,567,2379,665,2673,698,2430,645,2260,634,2205,759,6,5,8,5,8,6,5,3,5,7,6
"51730810900","Census Tract 8109, Petersburg city, Virginia",3759,955,3744,991,3805,1006,3551,846,3398,957,3591,995,3688,1058,3592,957,3556,918,3799,1122,3433,1210,1,1,1,1,1,1,1,1,1,1,1
"51730811000","Census Tract 8110, Petersburg city, Virginia",4911,1107,4809,1212,4640,1238,4305,1234,4340,1151,4083,1036,4265,958,4063,909,4232,903,4113,957,4232,1021,0,0,0,0,0,0,0,0,0,0,0
"51730811100","Census Tract 8111, Petersburg city, Virginia",2894,677,2666,616,2606,621,2540,546,2754,587,2916,572,2953,457,3080,448,3135,480,2891,540,2842,564,6,7,7,7,6,7,5,7,6,5,6
"51730811200","Census Tract 8112, Petersburg city, Virginia",3459,735,3467,917,3661,832,4048,859,4065,726,4272,813,4043,777,3918,781,3908,849,4020,899,4121,938,45,50,47,48,55,51,56,47,56,55,51
"51730811300","Census Tract 8113, Petersburg city, Virginia",0,0,2639,1008,2711,977,2663,942,2720,837,2468,792,2377,757,2362,772,2510,852,2685,958,2834,992,22,24,18,17,23,24,40,29,20,19,26
"51735340100","Census Tract 3401, Poquoson city, Virginia",3772,498,3603,368,3535,504,3598,473,3644,438,3590,510,3681,483,3732,454,3502,460,3513,427,3471,463,0,0,0,0,0,0,0,0,0,0,0
"51735340200","Census Tract 3402, Poquoson city, Virginia",5095,1039,5386,976,5380,1058,5324,1179,5443,1326,5360,1354,5299,1459,5276,1419,5341,1476,5165,1466,5119,1256,3,3,3,3,3,3,4,3,3,3,3
"51735340300","Census Tract 3403, Poquoson city, Virginia",2908,567,3110,666,3182,708,3188,717,3030,661,3153,662,3097,557,3060,638,3179,753,3361,709,3500,870,2,2,2,2,2,2,2,2,2,2,2
"51735990100","Census Tract 9901, Poquoson city, Virginia",0,0,0,127,0,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51740210200","Census Tract 2102, Portsmouth city, Virginia",2723,710,2596,729,2728,663,2334,581,2161,506,2133,504,2089,559,2108,458,2339,513,2580,576,2434,535,0,0,0,0,0,0,0,0,0,0,0
"51740210300","Census Tract 2103, Portsmouth city, Virginia",2295,604,2305,675,2286,512,2315,597,2415,570,2526,547,2435,503,2450,581,2234,570,2091,554,2100,533,47,49,34,46,47,35,44,51,49,40,42
"51740210400","Census Tract 2104, Portsmouth city, Virginia",1611,213,1506,164,1522,137,1590,170,1625,152,1548,143,1464,128,1430,150,1291,138,1322,195,1202,149,2,2,2,2,2,2,2,2,2,2,2
"51740210500","Census Tract 2105, Portsmouth city, Virginia",1809,231,1827,192,1894,204,2044,287,1996,264,1954,283,2054,269,2177,282,2195,264,2138,265,2122,235,19,17,17,17,18,18,18,16,16,18,18
"51740210600","Census Tract 2106, Portsmouth city, Virginia",1499,415,1322,420,1344,383,1337,333,1449,407,1606,350,1677,353,1620,349,1750,385,1672,428,1648,428,0,0,0,0,0,0,0,0,0,0,0
"51740210900","Census Tract 2109, Portsmouth city, Virginia",3219,697,3039,592,2946,473,2979,541,3139,562,3033,482,2960,441,2878,445,2871,483,2866,430,2879,494,20,19,20,20,21,21,19,22,21,21,20
"51740211100","Census Tract 2111, Portsmouth city, Virginia",1201,430,1262,312,1344,354,1490,377,1627,478,1738,374,1848,394,1813,414,1801,442,1715,412,1851,445,2,2,1,2,2,2,3,2,3,2,2
